Pos,Latitud,Longitud,Cuenca,Distancia,Variacion,area,EC,Rosa,Regadios,Energia,CF,LCOE,Emisiones
1104,40.11543588,-5.153790447,Tietar,4760.406662,330.396,1667.922,74,0.015,6,261266.4695223252,17.5,60.86,0.04
1105,40.10644889,-5.151201853,Tietar,5779.838972,329.232,1843.583,60,0.028660254,3,289286.27047635906,17.5,60.86,0.05
1106,40.11357693,-5.150641331,Tietar,5000.403333,330.847,1115.516,70,0.01,3,174612.8925151748,17.5,60.86,0.03
1107,40.11530044,-5.143779357,Tietar,4886.0634,333.071,316.677,76,0.01,3,49517.3076573769,17.5,60.86,0.01
1108,40.10736145,-5.141206738,Tietar,5792.901432,331.836,2749.452,62,0.016339746,3,431326.79286184313,17.5,60.86,0.07
1109,40.11555026,-5.140315645,Tietar,4920.542371,334.103,781.066,74,0.001339746,3,122490.54238752174,17.5,60.86,0.02
1110,40.10540926,-5.134366466,Tietar,6139.001917,333.092,990.687,58,0.02,2,155070.48604631782,17.5,60.85,0.03
1111,40.20590414,-4.627832228,Tietar,19392.75417,240.471,1387.747,1,-0.06830127,0,217040.1959886225,17.51,60.83,0.04
1116,40.34453645,-4.645112132,Tietar,12803.86156,235.525,2248.403,7,-0.124282032,0,351242.82524773263,17.5,60.85,0.06
1122,40.33428638,-4.621080231,Tietar,12546.25571,229.193,2452.522,9,-0.17160254,0,383186.3548475156,17.5,60.84,0.06
1123,40.3273172,-4.645088343,Tietar,14277.34632,232.248,2560.721,9,-0.139282032,0,400125.2413902527,17.5,60.84,0.07
1124,40.30945985,-4.745451755,Tietar,21680.38427,284.204,737.045,3,-0.08330127,26,114686.54368595852,17.5,60.85,0.02
1125,40.31518575,-4.657410666,Tietar,15980.97576,233.717,1113.139,10,-0.152942286,1,173996.5293553832,17.5,60.84,0.03
1126,40.31017197,-4.642370233,Tietar,15767.17472,228.975,1054.335,9,-0.227583302,1,164224.49175045535,17.5,60.84,0.03
1127,40.3100524,-4.641772256,Tietar,15753.46272,228.789,2341.86,9,-0.222583302,1,365595.23446455284,17.5,60.84,0.06
1129,40.31103479,-4.599854015,Tietar,11134.54806,223.547,2280.967,11,-0.213923048,0,356483.69824160344,17.5,60.84,0.06
1130,40.31290511,-4.550595259,Tietar,7046.544997,225.033,3063.135,4,-0.120621778,0,478371.29788511695,17.51,60.84,0.08
