Pos;Latitud;Longitud;Cuenca;Distancia;Variacion;area;EC;Rosa;Regadios
897;40.50396603;-5.34149513;Tormes;13288.14831;244.64;487.417;16;-0.11830127;0
898;40.53540566;-5.348146106;Tormes;13601.67545;238.167;99.483;19;-0.042320508;0
899;40.55474927;-5.408649274;Tormes;23236.93513;227.799;162.463;51;-0.089641016;0
900;40.56415381;-5.33736321;Tormes;13162.82271;233.542;213.018;51;-0.043660254;0
901;40.56473262;-5.341549451;Tormes;13521.66572;233.107;156.473;66;-0.053660254;0
902;40.56552169;-5.444471928;Tormes;23310.78855;223.314;38.328;45;-0.09830127;0
903;40.56606766;-5.342058563;Tormes;13603.13586;232.8;489.417;70;-0.043660254;0
904;40.56747952;-5.432589765;Zapardiel;23817.51761;224.364;75.481;58;-0.09830127;0
905;40.56768444;-5.42765075;Tormes;23974.19221;224.82;64.659;59;-0.11330127;0
906;40.56790478;-5.362181497;Tormes;15300.28721;230.849;330.985;84;-0.080980762;0
907;40.39761474;-5.209675637;Tormes;14500.76998;348.612;9010.951;5;-0.13660254;3
908;40.39290265;-5.189447342;Tormes;14904.06571;370.968;509.672;4;-0.139282032;3
909;40.37641753;-5.302557947;Tormes;19365.32887;284.468;946.617;1;-0.081961524;0
910;40.38757877;-5.081699814;Alberche;13787.46779;521.361;112.918;0;-0.099282032;0
911;40.36587709;-5.179606199;Tormes;17917.30169;404.198;906.461;4;-0.13330127;8
912;40.3464066;-5.003079866;Alberche;17095.36803;662.871;727.53;3;-0.079641016;0
913;40.32236011;-5.182272466;Tormes;17806.74981;413.67;396.923;3;-0.18660254;8
914;40.32607742;-5.013518336;Alberche;19331.26689;660.436;476.509;3;-0.045980762;0
915;40.29297069;-5.289610838;Tormes;17611.55459;309.027;5939.514;33;-0.142942286;0
916;40.30946803;-5.01140388;Tietar;17457.30552;640.124;578.476;4;-0.037320508;0
917;40.27066185;-5.300309877;Tormes;16032.21145;305.504;9741.876;38;-0.149282032;0
918;40.28476504;-5.167352549;Tormes;13454.70841;420.311;2620.28;1;-0.134282032;0
919;40.27286376;-5.27528618;Tormes;15068.56038;318.863;184.569;35;-0.152942286;0
920;40.26962414;-5.300346642;Tormes;15941.93747;305.547;1097.994;38;-0.149282032;0
921;40.27250482;-5.27530601;Tormes;15034.7871;318.864;67.006;35;-0.152942286;0
922;40.26801803;-5.301545634;Tormes;15862.08525;305.208;3324.342;38;-0.125621778;0
923;40.26717282;-5.281602352;Tormes;14806.30343;315.443;502.236;36;-0.157942286;0
924;40.26950936;-5.246579204;Tormes;13673.69591;336.474;1915.038;29;-0.180262794;0
925;40.26607105;-5.278199308;Tormes;14548.0095;317.198;689.832;36;-0.147942286;0
926;40.26823287;-5.247535958;Tormes;13572.31339;335.612;2111.401;30;-0.175262794;0
927;40.26239326;-5.289497252;Tormes;14747.39386;311.65;2845.753;38;-0.139282032;0
928;40.26171967;-5.274948222;Tormes;13991.72432;318.745;159.211;34;-0.162942286;0
929;40.26134459;-5.27522623;Tormes;13969.07476;318.616;320.104;34;-0.152942286;0
930;40.25862927;-5.276898875;Tormes;13792.99886;317.74;119.758;35;-0.139282032;0
